kind	id	a	b	t0	r2_or_tfail	extra
fit	8	9.999999999408743	0.004927366682516991	1.480809705919659	0.983166844066943	6.492129987689326
fit	9	9.999878841646428	0.0026732697421378068	2.0933358931265045	0.99438432103625	11.330304281636668
fit	10	9.999999999999998	0.00246927339603098	0.0	0.6011561769741325	9.999950847913974
fit	11	9.999999996495538	0.002062924339072657	2.881830049509224	0.9848159055773859	14.851543204388657
fit	12	0.16658112905408146	0.09071234113700871	1.983221209830196	0.9828432088779405	12.087676308894471
fit	14	9.9999999999678	0.004094627234341193	1.111944825442734	0.9414444625105303	7.142435802339433
unit	id	sigma	S	a	b	t0	t_fail	t_alarm	hit	fa_rate
unit	99	1	0.06945089529985875	9.022742269823246	0.9299065809493259	0.014777094658886627	50.954596566218214	67.06780559853772	5.713888888888889	1	nan
unit	100	0	0.17150235877700495	4.7662767211909225	3.2047674073063845	0.006780055917938542	nan	nan	nan	0	236.85
unit	101	1	0.17150235877700495	4.7662767211909225	1.9639278217400662	0.0009076053790896921	59.955542723098866	191.9752255721446	0.004166666666666667	1	nan
unit	102	0	0.07651666925824759	8.73794474760024	2.241702060591668	0.005866302352275011	nan	nan	nan	0	194.05
unit	103	1	0.08235991544572548	8.816557300274935	2.4413093180918444	0.006106516491132944	60.855985313426345	76.82143951782493	0.30833333333333335	1	nan
unit	104	0	0.5998237311057958	1.6316276612167815	9.46266702725803	0.005330051583601461	nan	nan	nan	0	184.85
unit	105	1	0.06983644824742441	8.933652988792224	15.452640559548247	0.0019286516991020167	67.76908657421968	76.09043769348335	0.034722222222222224	1	nan
unit	106	0	0.08329095362678211	7.845857503657191	10.918825934259049	8.58274720854333e-05	nan	nan	nan	0	601.15
unit	107	1	0.47051878617467896	1.8354805616078302	0.7096904446992113	0.016629446325192438	32.61402984635121	50.761470930175776	0.12916666666666668	1	nan
unit	108	0	0.08329095362678211	7.845857503657191	319.6623056592956	0.001373026369727795	nan	nan	nan	0	425.8
unit	109	1	1.3204525009121781	1.849384465237552	1.128617702088659	0.002785387634266269	87.32484601011751	159.15963055674393	0.05694444444444444	1	nan
unit	110	0	0.2791776079740415	3.163557797834569	7.854509913503748	0.011428178931960886	nan	nan	nan	0	503.45
unit	111	1	0.06271659177689277	8.94459617454187	8.801091783391739	0.0035772181252998934	15.783091580445376	23.61308919874893	0.36666666666666664	1	nan
unit	112	0	0.07651666925824759	8.73794474760024	0.4328862224219923	0.0023052586513361843	nan	nan	nan	0	66.4
unit	113	1	0.06861560537297894	9.219327591281345	7.389711598599062	0.011284081624926983	11.129428509540777	14.077931223254604	0.26805555555555555	1	nan
unit	114	0	1.3204525009121781	1.849384465237552	11.409977659705671	0.03594958725630379	nan	nan	nan	0	419.7
unit	115	1	0.07509129666073337	8.448810807808941	32.37030458693012	0.020253672340386615	63.542213601314835	63.922068523980606	0.9152777777777777	1	nan
unit	116	0	0.43684887945814554	2.2241310401199943	2.6595547755281967	0.0032165010156767447	nan	nan	nan	0	506.15
unit	117	1	0.07889793219269021	8.499716642980067	1.747046268793427	0.0030905987394212386	11.264251647987106	54.538296283966474	0.13055555555555556	1	nan
unit	118	0	0.17150235877700495	4.7662767211909225	146.38779265985306	0.026485135768986392	nan	nan	nan	0	127.55
unit	119	1	0.06983644824742441	8.933652988792224	1.0203350837887022	0.0006404444931321756	79.20054520642263	421.3841796300214	0.9888888888888889	0	nan
unit	120	0	0.06271659177689277	8.94459617454187	1.4496399208409254	0.0015572451134914023	nan	nan	nan	0	350.5
unit	121	1	0.06617259937531154	8.92814831892865	59.685998096915135	0.003951846436663083	27.931402259887523	28.989095018590152	0.004166666666666667	1	nan
unit	122	0	0.07509129666073337	8.448810807808941	11.820002697917246	0.00042790648305724246	nan	nan	nan	0	85.25
unit	123	1	0.07003120857964042	9.03106919272778	1.205260460007719	0.0029124631756175393	86.206099506306	150.92424033153162	0.05416666666666667	1	nan
unit	124	0	0.07044084803853763	8.652551455057065	10.850040463429352	0.009547934700022702	nan	nan	nan	0	224.3
unit	125	1	0.241511327416282	4.075903805078148	27.78352606057741	0.002707071847311356	23.479663954343202	26.788736053561088	0.10277777777777777	1	nan
unit	126	0	0.07044084803853763	8.652551455057065	17.070597046825927	0.001993095844295252	nan	nan	nan	0	239.0
unit	127	1	0.1104994487895336	5.867510368605203	3.2253350342470757	0.0011881872087132544	93.68741398484163	156.51762719932827	0.1111111111111111	1	nan
unit	128	0	0.08567542351293418	8.472590372355025	6.707061663699859	0.005195969925126922	nan	nan	nan	0	374.7
unit	129	1	0.2791776079740415	3.163557797834569	0.3280264635892947	0.007807785727893207	59.00446415267898	131.5634950124421	0.32222222222222224	1	nan
unit	130	0	0.47051878617467896	1.8354805616078302	2.9799532834837623	0.051215700561955464	nan	nan	nan	0	97.65
unit	131	1	0.241511327416282	4.075903805078148	0.9987462523346481	0.015759917903874102	12.059491757996767	26.234348852416176	1.8277777777777777	1	nan
unit	132	0	0.07651666925824759	8.73794474760024	2.4041231303606834	0.007041897038637148	nan	nan	nan	0	442.45
unit	133	1	0.06293562568174967	9.307313720240804	3.4913199487659012	0.0050372907907547644	74.25830521290875	87.98763035724585	0.21805555555555556	1	nan
unit	134	0	0.07353800740971879	8.566532747463366	2.9518400308861823	0.0007659163285798381	nan	nan	nan	0	219.95
unit	135	1	0.2791776079740415	3.163557797834569	0.0884235897194016	0.009484437586848835	84.24676656998804	225.75853640459115	0.05277777777777778	0	nan
unit	136	0	0.43684887945814554	2.2241310401199943	8.420844954202877	0.0015922329067585659	nan	nan	nan	0	205.75
unit	137	1	0.07353800740971879	8.566532747463366	1.9840400071601891	0.0061336782243578605	32.51285818117407	51.8611889698295	0.058333333333333334	1	nan
unit	138	0	0.08972075944477054	8.532005144513137	102.07805528779333	0.0025066224122046185	nan	nan	nan	0	520.5
unit	139	1	0.07003120857964042	9.03106919272778	0.8113341293485563	0.009496425292927994	41.38962788894547	69.67417012733299	0.08472222222222223	1	nan
unit	140	0	0.07987593590847152	8.014140759840798	70.75613006564532	0.005143376797304693	nan	nan	nan	0	301.15
unit	141	1	0.07889793219269021	8.499716642980067	7.073452905666327	0.0075195186517433375	71.15698080292226	75.77604988786658	0.05277777777777778	1	nan
unit	142	0	0.06983644824742441	8.933652988792224	2.387802175945423	0.01863594310129859	nan	nan	nan	0	325.15
