kind	file_or_series	fs_mult	bits	lsb_A	floor_lab	floor_quantized
D	1.0kW/1000W_0_00_current_interturn	3.0	12	0.002501	0.010307	0.0102822
D	1.0kW/1000W_0_00_current_interturn	3.0	14	0.000625	0.010307	0.0103148
D	1.0kW/1000W_0_00_current_interturn	3.0	16	0.000156	0.010307	0.0103064
D	1.5kW/1500W_0_00_current_intercoil	1.5	8	0.117458	0.0211901	0.0211548
D	1.5kW/1500W_0_00_current_intercoil	1.5	9	0.058729	0.0211901	0.0208371
D	1.5kW/1500W_0_00_current_intercoil	1.5	10	0.029364	0.0211901	0.021157
D	1.5kW/1500W_0_00_current_intercoil	1.5	11	0.014682	0.0211901	0.0211726
D	1.5kW/1500W_0_00_current_intercoil	1.5	12	0.007341	0.0211901	0.0211945
D	1.5kW/1500W_0_00_current_intercoil	1.5	14	0.001835	0.0211901	0.0211736
D	1.5kW/1500W_0_00_current_intercoil	1.5	16	0.000459	0.0211901	0.0211949
D	1.5kW/1500W_0_00_current_intercoil	2.0	8	0.156610	0.0211901	0.0208966
D	1.5kW/1500W_0_00_current_intercoil	2.0	9	0.078305	0.0211901	0.020507
D	1.5kW/1500W_0_00_current_intercoil	2.0	10	0.039153	0.0211901	0.0213657
D	1.5kW/1500W_0_00_current_intercoil	2.0	11	0.019576	0.0211901	0.0212045
D	1.5kW/1500W_0_00_current_intercoil	2.0	12	0.009788	0.0211901	0.0211464
D	1.5kW/1500W_0_00_current_intercoil	2.0	14	0.002447	0.0211901	0.0211875
D	1.5kW/1500W_0_00_current_intercoil	2.0	16	0.000612	0.0211901	0.0211917
D	1.5kW/1500W_0_00_current_intercoil	3.0	8	0.234915	0.0211901	0.0210216
D	1.5kW/1500W_0_00_current_intercoil	3.0	9	0.117458	0.0211901	0.0211548
D	1.5kW/1500W_0_00_current_intercoil	3.0	10	0.058729	0.0211901	0.0208371
D	1.5kW/1500W_0_00_current_intercoil	3.0	11	0.029364	0.0211901	0.021157
D	1.5kW/1500W_0_00_current_intercoil	3.0	12	0.014682	0.0211901	0.0211726
D	1.5kW/1500W_0_00_current_intercoil	3.0	14	0.003671	0.0211901	0.0212002
D	1.5kW/1500W_0_00_current_intercoil	3.0	16	0.000918	0.0211901	0.0211888
D	1.5kW/1500W_0_00_current_interturn	1.5	8	0.117458	0.0211901	0.0211548
D	1.5kW/1500W_0_00_current_interturn	1.5	9	0.058729	0.0211901	0.0208371
D	1.5kW/1500W_0_00_current_interturn	1.5	10	0.029364	0.0211901	0.021157
D	1.5kW/1500W_0_00_current_interturn	1.5	11	0.014682	0.0211901	0.0211726
D	1.5kW/1500W_0_00_current_interturn	1.5	12	0.007341	0.0211901	0.0211945
D	1.5kW/1500W_0_00_current_interturn	1.5	14	0.001835	0.0211901	0.0211736
D	1.5kW/1500W_0_00_current_interturn	1.5	16	0.000459	0.0211901	0.0211949
D	1.5kW/1500W_0_00_current_interturn	2.0	8	0.156610	0.0211901	0.0208966
D	1.5kW/1500W_0_00_current_interturn	2.0	9	0.078305	0.0211901	0.020507
D	1.5kW/1500W_0_00_current_interturn	2.0	10	0.039153	0.0211901	0.0213657
D	1.5kW/1500W_0_00_current_interturn	2.0	11	0.019576	0.0211901	0.0212045
D	1.5kW/1500W_0_00_current_interturn	2.0	12	0.009788	0.0211901	0.0211464
D	1.5kW/1500W_0_00_current_interturn	2.0	14	0.002447	0.0211901	0.0211875
D	1.5kW/1500W_0_00_current_interturn	2.0	16	0.000612	0.0211901	0.0211917
D	1.5kW/1500W_0_00_current_interturn	3.0	8	0.234915	0.0211901	0.0210216
D	1.5kW/1500W_0_00_current_interturn	3.0	9	0.117458	0.0211901	0.0211548
D	1.5kW/1500W_0_00_current_interturn	3.0	10	0.058729	0.0211901	0.0208371
D	1.5kW/1500W_0_00_current_interturn	3.0	11	0.029364	0.0211901	0.021157
D	1.5kW/1500W_0_00_current_interturn	3.0	12	0.014682	0.0211901	0.0211726
D	1.5kW/1500W_0_00_current_interturn	3.0	14	0.003671	0.0211901	0.0212002
D	1.5kW/1500W_0_00_current_interturn	3.0	16	0.000918	0.0211901	0.0211888
D	3.0kW/3000W_0_00_current_intercoil	1.5	8	0.118034	0.0143593	0.0143765
D	3.0kW/3000W_0_00_current_intercoil	1.5	9	0.059017	0.0143593	0.0141036
D	3.0kW/3000W_0_00_current_intercoil	1.5	10	0.029508	0.0143593	0.0142029
D	3.0kW/3000W_0_00_current_intercoil	1.5	11	0.014754	0.0143593	0.0144961
D	3.0kW/3000W_0_00_current_intercoil	1.5	12	0.007377	0.0143593	0.0144199
D	3.0kW/3000W_0_00_current_intercoil	1.5	14	0.001844	0.0143593	0.0143594
D	3.0kW/3000W_0_00_current_intercoil	1.5	16	0.000461	0.0143593	0.0143577
D	3.0kW/3000W_0_00_current_intercoil	2.0	8	0.157379	0.0143593	0.0135382
D	3.0kW/3000W_0_00_current_intercoil	2.0	9	0.078689	0.0143593	0.0139761
D	3.0kW/3000W_0_00_current_intercoil	2.0	10	0.039345	0.0143593	0.0143063
D	3.0kW/3000W_0_00_current_intercoil	2.0	11	0.019672	0.0143593	0.0145013
D	3.0kW/3000W_0_00_current_intercoil	2.0	12	0.009836	0.0143593	0.0143914
D	3.0kW/3000W_0_00_current_intercoil	2.0	14	0.002459	0.0143593	0.0143659
D	3.0kW/3000W_0_00_current_intercoil	2.0	16	0.000615	0.0143593	0.0143565
D	3.0kW/3000W_0_00_current_intercoil	3.0	8	0.236068	0.0143593	0.0151141
D	3.0kW/3000W_0_00_current_intercoil	3.0	9	0.118034	0.0143593	0.0143765
D	3.0kW/3000W_0_00_current_intercoil	3.0	10	0.059017	0.0143593	0.0141036
D	3.0kW/3000W_0_00_current_intercoil	3.0	11	0.029508	0.0143593	0.0142029
D	3.0kW/3000W_0_00_current_intercoil	3.0	12	0.014754	0.0143593	0.0144961
D	3.0kW/3000W_0_00_current_intercoil	3.0	14	0.003689	0.0143593	0.0143453
D	3.0kW/3000W_0_00_current_intercoil	3.0	16	0.000922	0.0143593	0.0143557
D	3.0kW/3000W_0_00_current_interturn	1.5	8	0.118034	0.0143593	0.0143765
D	3.0kW/3000W_0_00_current_interturn	1.5	9	0.059017	0.0143593	0.0141036
D	3.0kW/3000W_0_00_current_interturn	1.5	10	0.029508	0.0143593	0.0142029
D	3.0kW/3000W_0_00_current_interturn	1.5	11	0.014754	0.0143593	0.0144961
D	3.0kW/3000W_0_00_current_interturn	1.5	12	0.007377	0.0143593	0.0144199
D	3.0kW/3000W_0_00_current_interturn	1.5	14	0.001844	0.0143593	0.0143594
D	3.0kW/3000W_0_00_current_interturn	1.5	16	0.000461	0.0143593	0.0143577
D	3.0kW/3000W_0_00_current_interturn	2.0	8	0.157379	0.0143593	0.0135382
D	3.0kW/3000W_0_00_current_interturn	2.0	9	0.078689	0.0143593	0.0139761
D	3.0kW/3000W_0_00_current_interturn	2.0	10	0.039345	0.0143593	0.0143063
D	3.0kW/3000W_0_00_current_interturn	2.0	11	0.019672	0.0143593	0.0145013
D	3.0kW/3000W_0_00_current_interturn	2.0	12	0.009836	0.0143593	0.0143914
D	3.0kW/3000W_0_00_current_interturn	2.0	14	0.002459	0.0143593	0.0143659
D	3.0kW/3000W_0_00_current_interturn	2.0	16	0.000615	0.0143593	0.0143565
D	3.0kW/3000W_0_00_current_interturn	3.0	8	0.236068	0.0143593	0.0151141
D	3.0kW/3000W_0_00_current_interturn	3.0	9	0.118034	0.0143593	0.0143765
D	3.0kW/3000W_0_00_current_interturn	3.0	10	0.059017	0.0143593	0.0141036
D	3.0kW/3000W_0_00_current_interturn	3.0	11	0.029508	0.0143593	0.0142029
D	3.0kW/3000W_0_00_current_interturn	3.0	12	0.014754	0.0143593	0.0144961
D	3.0kW/3000W_0_00_current_interturn	3.0	14	0.003689	0.0143593	0.0143453
D	3.0kW/3000W_0_00_current_interturn	3.0	16	0.000922	0.0143593	0.0143557
D	1.0kW/1000W_0_00_current_intercoil	1.5	4	0.320123	0.010307	0.0176296
D	1.0kW/1000W_0_00_current_intercoil	1.5	5	0.160062	0.010307	0.0129345
D	1.0kW/1000W_0_00_current_intercoil	1.5	6	0.080031	0.010307	0.0117691
D	1.0kW/1000W_0_00_current_intercoil	1.5	7	0.040015	0.010307	0.0109121
D	1.0kW/1000W_0_00_current_intercoil	2.0	4	0.426831	0.010307	0.02128
D	1.0kW/1000W_0_00_current_intercoil	2.0	5	0.213415	0.010307	0.0113632
D	1.0kW/1000W_0_00_current_intercoil	2.0	6	0.106708	0.010307	0.0115557
