cmplid	elapsed_s	elapsed_kind	persist	recovery
910876		none	unreadable	unreadable
911817		none	unreadable	unreadable
912730		none	until_reset	ignition
913824		none	until_reset	ignition
915000		none	unreadable	unreadable
915045		none	until_reset	ignition
915694		none	until_reset	rest_or_cool
916331		none	unreadable	spontaneous
917502		none	until_reset	ignition
917587		none	unreadable	unreadable
919795		none	until_reset	ignition
920277		none	unreadable	unreadable
920388		none	until_reset	rest_or_cool
921170		none	until_reset	ignition
921217		none	unreadable	unreadable
922664		none	unreadable	unreadable
922954		none	until_reset	ignition
925329		none	unreadable	unreadable
928245		none	unreadable	unreadable
928871		none	until_reset	ignition
931033		none	until_reset	ignition
931926		none	until_reset	ignition
935023		none	until_reset	ignition
935406		none	unreadable	unreadable
937476		none	unreadable	unreadable
940062		none	until_reset	ignition
941433		none	unreadable	unreadable
941726		none	unreadable	unreadable
942679		none	unreadable	unreadable
942842		none	until_reset	ignition
943223		none	unreadable	unreadable
943869		none	unreadable	spontaneous
944799		none	until_reset	ignition
945627		none	unreadable	unreadable
946546		none	unreadable	unreadable
947903	3600	time	momentary	unreadable
948273		none	until_reset	ignition
948569		none	until_reset	ignition
949165		none	until_reset	ignition
950483		none	until_reset	ignition
952548		none	until_reset	ignition
955284		none	momentary	unreadable
955548		none	until_reset	ignition
957468		none	until_reset	ignition
958196		none	unreadable	unreadable
959014	600	time	unreadable	unreadable
959913		mile	until_reset	ignition
959990		none	unreadable	unreadable
960203		none	unreadable	unreadable
960312		none	until_reset	ignition
962339		none	until_reset	ignition
964789		none	until_reset	ignition
965083		none	unreadable	unreadable
965838		none	until_reset	ignition
967511		none	momentary	unreadable
967531		none	unreadable	unreadable
967863		none	until_reset	ignition
967921		none	unreadable	spontaneous
968099		none	until_reset	ignition
968225		none	unreadable	unreadable
968449		none	unreadable	unreadable
971014		none	until_reset	ignition
971678		none	unreadable	unreadable
975691		none	unreadable	unreadable
976497		none	unreadable	unreadable
976968		none	unreadable	unreadable
977370		none	until_reset	ignition
978616		none	unreadable	unreadable
981948		none	unreadable	unreadable
983074		none	until_reset	ignition
984621		none	until_reset	ignition
986179		none	until_reset	ignition
987781		none	until_reset	ignition
989582		none	until_reset	ignition
996867		none	unreadable	spontaneous
998766		none	unreadable	unreadable
999199		none	until_reset	ignition
1006222		none	until_reset	ignition
1007408		none	unreadable	unreadable
1007409		none	unreadable	unreadable
1007623		none	unreadable	unreadable
1007967		none	until_reset	ignition
1008681		none	unreadable	unreadable
1009018		none	unreadable	unreadable
1009051		none	until_reset	ignition
1010544		none	unreadable	spontaneous
1013077		none	unreadable	unreadable
1013294		none	until_reset	ignition
1015734		none	unreadable	unreadable
1016023		none	unreadable	unreadable
1016453		none	until_reset	rest_or_cool
1021096		none	unreadable	unreadable
1021247		none	unreadable	unreadable
1022552		none	unreadable	unreadable
1023845		none	unreadable	unreadable
1024039		none	unreadable	unreadable
1024603		none	until_reset	ignition
1025447		none	until_reset	rest_or_cool
1026610		none	until_reset	ignition
1029085		none	until_reset	ignition
1032176		none	until_reset	ignition
1033456		none	momentary	unreadable
1033850		none	until_reset	ignition
1035667		none	unreadable	unreadable
1036466		none	momentary	unreadable
1039518		none	unreadable	spontaneous
1039670		none	unreadable	unreadable
1039704		none	until_reset	ignition
1040289		none	until_reset	ignition
1040447		none	until_reset	ignition
1040613		none	until_reset	ignition
1040789		none	unreadable	unreadable
1041410		none	unreadable	unreadable
1042795		none	unreadable	spontaneous
1043746		none	unreadable	spontaneous
1045208		none	unreadable	unreadable
1045680		none	until_reset	ignition
1047854		none	until_reset	ignition
1047883		none	unreadable	unreadable
1048087		none	until_reset	ignition
1048679		none	until_reset	ignition
1049073		none	until_reset	rest_or_cool
1049775		none	until_reset	ignition
1050273		none	until_reset	ignition
1050481		none	until_reset	ignition
1050573		none	until_reset	ignition
1050754		none	until_reset	ignition
1050916		none	until_reset	ignition
1051001		none	unreadable	unreadable
1051277		none	until_reset	ignition
1052059		none	unreadable	unreadable
1052158		none	until_reset	rest_or_cool
1052186		none	unreadable	spontaneous
1052844		none	until_reset	ignition
1053762		none	until_reset	ignition
1054704		none	unreadable	unreadable
1056445		none	unreadable	unreadable
1056505		none	until_reset	ignition
1056849		none	unreadable	unreadable
1057560		none	unreadable	unreadable
1057910		none	until_reset	ignition
1058282		none	until_reset	ignition
1059818		none	unreadable	unreadable
1059942		none	until_reset	ignition
1059945		none	until_reset	ignition
1062256		none	unreadable	unreadable
1062257		none	unreadable	unreadable
1062391		none	until_reset	ignition
1064385		none	until_reset	ignition
1064940		none	unreadable	unreadable
1065125		none	until_reset	ignition
1066847		none	unreadable	unreadable
1066848		none	unreadable	unreadable
1067117		none	unreadable	unreadable
1068518		none	until_reset	ignition
1068547		none	unreadable	unreadable
1069100		none	unreadable	unreadable
1069101		none	unreadable	unreadable
1069266		none	unreadable	unreadable
1069267		none	unreadable	unreadable
1070040		none	unreadable	unreadable
1071561		none	until_reset	ignition
1071855		none	unreadable	unreadable
1072936		none	unreadable	unreadable
1072979		none	unreadable	unreadable
1073299		none	until_reset	rest_or_cool
1073558		none	until_reset	ignition
1073588		none	unreadable	unreadable
1073982		none	unreadable	unreadable
1074220		none	until_reset	ignition
1075003		none	unreadable	unreadable
1076074		none	unreadable	unreadable
1076981		none	unreadable	unreadable
1076986		none	until_reset	ignition
1077704		none	unreadable	unreadable
1077880		none	until_reset	ignition
1078321		none	until_reset	ignition
1078322		none	until_reset	ignition
1078709		none	until_reset	ignition
1079786		none	unreadable	unreadable
1079964		none	unreadable	unreadable
1080134		mile	until_reset	ignition
1080244		none	until_reset	ignition
1080297		none	until_reset	ignition
1080303		none	unreadable	unreadable
1080589		none	unreadable	unreadable
1081151		none	until_reset	ignition
1082143		none	unreadable	unreadable
1082494		none	until_reset	ignition
1084016		none	until_reset	ignition
1086276		none	until_reset	ignition
1086770		none	unreadable	unreadable
1087429		none	unreadable	unreadable
1087473		none	momentary	unreadable
1087958		none	until_reset	ignition
1088857		none	momentary	spontaneous
1089668		none	until_reset	ignition
1091175		none	until_reset	ignition
1091285		none	unreadable	unreadable
1092163		none	until_reset	ignition
1093106		none	until_reset	ignition
1093780		none	unreadable	unreadable
1093838		none	until_reset	ignition
1093897		none	unreadable	unreadable
