segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00086	-0.00102	-0.0002		0.1	-0.32619	0.06996	-0.14431	-0.76314		0.0	-7.40973	2.42643	7.40973	gain_dev	599	26.34721
00087	0.00138	-0.00033		0.1	-0.01393	0.04874	0.60085	-1.23104		0.0	0.47948	0.9344	1.23104	drift	599	23.75797
00088	-0.00028	-3e-05	-0.0107	0.0	0.02615	0.01094	0.08516	-0.15068	-1.13314	-0.67449	1.49218	-1.72476	1.72476	hf_noise	512	6.89677
00089	-0.00115	-2e-05		0.1	-0.00596	0.02954	-0.18471	-0.09971		0.0	0.68096	-0.41666	0.68096	gain_dev	600	25.87691
00090	-0.00069	0.00033	0.04957	0.0	-0.03878	0.03545	-0.04218	1.20575	0.77339	-0.67449	-0.1482	-0.00036	1.20575	drift	600	28.61419
00091	0.00511	-0.0005	0.04794	0.2	-0.05744	0.04031	1.75597	-1.86957	0.72172	0.67449	-0.61969	0.34145	1.86957	drift	599	29.79388
00092	-0.00205	-5e-05		0.1	-0.11517	0.01527	-0.46368	-0.21348		0.0	-2.07831	-1.4197	2.07831	gain_dev	556	11.5289
00094	-0.00053	0.00019		0.1	-0.05116	0.03189	0.00874	0.68013		0.0	-0.46098	-0.25093	0.68013	drift	540	18.13279
00095	-0.00678	-0.00029	0.08581	0.1	-0.04072	0.04047	-1.92847	-1.0994	1.91986	0.0	-0.19736	0.35209	1.92847	bias	600	22.65693
00096	0.00245	0.00025	-0.02773	0.0	0.04126	0.02123	0.93026	0.90436	-1.67192	-0.67449	1.87404	-1.00086	1.87404	gain_dev	471	11.71209
00097	-0.00103	0.00024		0.2	-0.11051	0.02385	-0.1481	0.84911		0.67449	-1.96039	-0.8163	1.96039	gain_dev	546	20.7897
00098	0.00247	-0.00014	-0.00557	0.1	0.00323	0.04145	0.9392	-0.5508	-0.97084	0.0	0.91313	0.42143	0.97084	asymmetry	585	16.48692
00099	-0.00647	-0.00073		0.1	-0.31744	0.07737	-1.83223	-2.73318		0.0	-7.1886	2.94768	7.1886	gain_dev	600	27.70751
00100	-0.00493	-0.00034		0.0	-0.12238	0.04551	-1.35511	-1.26791		-0.67449	-2.26029	0.70694	2.26029	gain_dev	599	32.93367
00101	-0.0046	-0.0002	0.02197	0.1	-0.01147	0.02816	-1.25189	-0.76252	-0.09985	0.0	0.54174	-0.51334	1.25189	bias	565	17.53968
00102	-0.00122	7e-05		0.1	-0.16435	0.00939	-0.20707	0.25358		0.0	-3.32065	-1.83374	3.32065	gain_dev	554	13.33935
00103	-0.00571	-0.00043	0.17125	0.2	-0.1168	0.05218	-1.59772	-1.59826	4.62266	0.67449	-2.11939	1.17576	4.62266	asymmetry	600	34.8588
00104	-0.00463	0.00045	-0.01267	0.0	0.01565	0.02639	-1.262	1.66043	-1.19546	-0.67449	1.22697	-0.63763	1.66043	drift	598	20.957
00105	0.00039	-0.00023	0.05568	0.1	-0.01798	0.04101	0.2929	-0.86921	0.96685	0.0	0.37728	0.39072	0.96685	asymmetry	599	29.75309
00106	0.00917	0.00028	-0.00331	0.1	-0.04707	0.03239	3.01408	1.0262	-0.89943	0.0	-0.35769	-0.21608	3.01408	bias	599	19.19082
00107	-0.00115	-3e-05		0.2	-0.26751	0.015	-0.1833	-0.14108		0.67449	-5.92708	-1.43895	5.92708	gain_dev	515	11.97131
00108	-0.00401	0.00044	-0.02109	0.1	0.00456	0.04577	-1.07067	1.59519	-1.46202	0.0	0.94667	0.72545	1.59519	drift	576	17.43374
00109	-0.0068	-0.00098	0.04718	0.0	-0.02343	0.03281	-1.93505	-3.63336	0.6977	-0.67449	0.23957	-0.1865	3.63336	drift	600	25.65443
